|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
|    | anguler_vel_[0ax] | anguler_vel_[1ax] | anguler_vel_[2ax] | anguler_acc_[0ax]    | anguler_acc_[1ax]    | anguler_acc_[2ax]  | position_vec_[0ax] | position_vec_[1ax] | position_vec_[2ax] | linear_vel_[0ax] | linear_vel_[1ax] | linear_vel_[2ax] | linear_acc_[0ax]   | linear_acc_[1ax]   | linear_acc_[2ax]   | theta_ang | gamma_ang | psi_ang | rotors_cmd_[0ax]    | rotors_cmd_[1ax]    | rotors_cmd_[2ax]    | rotors_cmd_[3ax]    |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
|  0 |               0.0 |               0.0 |               0.0 |                  0.0 |                  0.0 |                0.0 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |                0.0 |                0.0 |                0.0 |       0.0 |       0.0 |     0.0 |                 0.0 |                 0.0 |                 0.0 |                 0.0 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
|  1 |               0.0 |               0.0 |               0.0 |                  0.0 |                  0.0 | 14.520072599999999 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  30.56328642942346 |  30.56328642942346 |  40.37328642942346 |       0.0 |       0.0 |     0.0 |       131.496555372 | -42.118034649600006 | -115.82465185199997 |  155.73893112960002 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
|  2 |               0.0 |               0.0 |               0.0 |   406274.64724365756 |   2356384.5746247997 | 151493.89138991336 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |   898.093836286855 |   898.093836286855 |  907.9038362868549 |       0.0 |       0.0 |     0.0 | -219.27519370727754 |  171.20816461382202 |  267.92309722727765 | -218.55046813382194 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
|  3 |               0.0 |               0.0 |               0.0 |  -2484314.0759760714 |   1934112.5518474055 | 419673.71495668526 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  9.068960627786659 |  9.068960627786659 |  18.87896062778666 |       0.0 |       0.0 |     0.0 |  120.27855434290073 |  -95.62907382631568 | -119.62425082288983 |   96.29317030632657 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
|  4 |               0.0 |               0.0 |               0.0 |   16453.231096284042 |   13359.589269110542 | 100144.72135873149 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  9.157872006640467 |  9.157872006640467 |  18.96787200664047 |       0.0 |       0.0 |     0.0 | 0.35446445254481757 | 0.31595808596973923 |  0.3062390674444993 |  0.3545383940195776 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
|  5 |               0.0 |               0.0 |               0.0 |   3.3397883061136757 |    2.711432566824478 | 1.3592682457278704 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  9.246783385044429 |  9.246783385044429 |  19.05678338504443 |       0.0 |       0.0 |     0.0 | 0.33367899450469357 | 0.33834645238051403 |  0.3334245254943912 |  0.3385500276185707 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
|  6 |               0.0 |               0.0 |               0.0 |  0.01779363787223811 | 0.014443878342714836 |  1.381154388531569 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  9.335694763883906 |  9.335694763883906 | 19.145694763883906 |       0.0 |       0.0 |     0.0 |  0.3368741974579723 |  0.3415502900385447 | 0.33662932254317024 |  0.3417461899625978 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
|  7 |               0.0 |               0.0 |               0.0 | 0.017287045798592405 | 0.014030723490978121 |  1.407332890558505 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |   9.42460614261627 |   9.42460614261627 | 19.234606142616272 |       0.0 |       0.0 |     0.0 | 0.34007419648894355 | 0.34475029080982256 |  0.3398293235110622 | 0.34494618919018316 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
|  8 |               0.0 |               0.0 |               0.0 | 0.017451178756106297 |  0.01416202868368145 | 1.4337571621355147 |                0.0 |                0.0 |                0.0 |              0.0 |              0.0 |              0.0 |  9.513517521304257 |  9.513517521304257 | 19.323517521304257 |       0.0 |       0.0 |     0.0 | 0.34327419648592705 |  0.3479502908119093 | 0.34302932351361937 | 0.34814618918763707 |
|----|-------------------|-------------------|-------------------|----------------------|----------------------|--------------------|--------------------|--------------------|--------------------|------------------|------------------|------------------|--------------------|--------------------|--------------------|-----------|-----------|---------|---------------------|---------------------|---------------------|---------------------|
